Name,Updated Name,Link,Scientific Name,Status in Britain,Population Size In Breeding Season,Population Number,2 letter code,long code,Image Url,2nd Image,,habitat.Broad-leaved Woodland,habitat.Coniferous Woodland,habitat.Scrub & Bushy Commons,habitat.Heath & Dry Grassland,habitat.Open Upland Moor,habitat.Pasture & Grazed Fields,habitat.Arable Farmland,habitat.Marsh and Wet Grassland,habitat.Boggy Moorland,habitat.Reed Swamp & Fen,habitat.Open Coastal Habitat,habitat.Villages & Rural Areas,habitat.Towns & Cities,habitat.Lakes & Large Waterbodies,habitat.Ponds & Small Waterbodies,habitat.Rivers (2m wide or more),habitat.Streams (less than 2m),habitat.Coastal Estuaries,habitat.Rocky and Sandy Shoreline,eurobirdLink,foundIn
Lady Amherst’s Pheasant,,http://app.bto.org/birdfacts/results/bob3970.htm,Chrysolophus amherstiae,Introduced Breeder,1-10 Males,10,LM,LAAPH,,,,,,,,,,,,,,,,,,,,,,,,"Wooded slopes, bamboo thickets"
Golden Oriole,Eurasian Golden Oriole,http://app.bto.org/birdfacts/results/bob15080.htm,Oriolus oriolus,"Scarce Breeder, Passage Visitor",1-10 Pairs,20,OL,GOLOR,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ORIORI/p52weeks,Deciduous woodland
Night Heron,,http://app.bto.org/birdfacts/results/bob1040.htm,Nycticorax nycticorax,"Escaped Breeder, Scarce Visitor",10 - 100 Birds,100,NT,NIGHE,,,,,,,,,,,,,,,,,,,,,,,,"Marshes, ponds, lakes and mangrove"
Kentish Plover,,http://app.bto.org/birdfacts/results/bob4770.htm,Charadrius alexandrinus,"Former Breeder, Scarce Visitor",10 - 100 Birds,100,KP,KENPL,,,,,,,,,,,,,,,,,,,,,,,,"Beaches, mudflats, rivers, lakes"
White Stork,,http://app.bto.org/birdfacts/results/bob1340.htm,Ciconia ciconia,"Former Breeder, Scarce Visitor",10 - 100 Birds,100,OR,WHIST,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CICCIC/p52weeks,"Steppe, grassland & Farmland, often near humans"
Spoonbill,Eurasian Spoonbill,http://app.bto.org/birdfacts/results/bob1440.htm,Platalea leucorodia,"Former, but now Scarce, Breeder, Scarce Visitor",10 - 100 Birds,100,NB,SPOON,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PLALEU/p52weeks,"Lakes, marshes, swamps & mudflats"
Ruddy Duck,,http://app.bto.org/birdfacts/results/bob2250.htm,Oxyura jamaicensis,Introduced Breeder,10 - 100 Birds,100,RY,RUDDU,,,,,,,,,,,,,,,,,,,,,,,,"Marshes, lakes, on migration also rivers, estuaries"
Aquatic Warbler,,http://app.bto.org/birdfacts/results/bob12420.htm,Acrocephalus paludicola,Passage Visitor,10 - 100 Birds,100,AQ,AQUWA,,,,,,,,,,,,,,,,,,,,,,,,Open marsh
Rough-legged Buzzard,,http://app.bto.org/birdfacts/results/bob2900.htm,Buteo lagopus,Passage/Winter Visitor,10 - 100 Birds,100,RF,ROLBU,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/BUTLAG/p52weeks,"Tundra, open coniferous forest, farmland"
Great Grey Shrike,,http://app.bto.org/birdfacts/results/bob15201.htm,Lanius excubitor,Passage/Winter Visitor,10 - 100 Birds,100,SR,GRGSH,,,,,,,,,,,,,,,,,,,,,,,,
Bluethroat,,http://app.bto.org/birdfacts/results/bob11060.htm,Luscinia svecica,"Scarce Breeder, Passage Visitor",10 - 100 Birds,100,BU,BLUTH,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/LUSSVE/p52weeks,"Damp scrub, tundra"
Red-necked Grebe,,http://app.bto.org/birdfacts/results/bob100.htm,Podiceps grisegena,"Scarce Breeder, Winter Visitor",10 - 100 Birds,100,RX,RENGR,,,,,,,,,,,,,,,,,,,,,,,,"Reedy lakes & large ponds, Winter seacoast & large lakes"
Shore Lark,,http://app.bto.org/birdfacts/results/bob9780.htm,Eremophila alpestris,"Scarce Breeder, Winter Visitor",10 - 100 Birds,100,SX,SHOLA,,,,,,,,,,,,,,,,,,,,,,,,"Dry plains, tundra, open shores"
Cattle Egret,,http://app.bto.org/birdfacts/results/bob1110.htm,Bubulcus ibis,"Scarce Visitor, Has Bred",10 - 100 Birds,100,EC,CATEG,,,,,,,,,,,,,,,,,,,,,,,,"Wet fields, marsh and pasture, often with grazing animals"
Purple Heron,,http://app.bto.org/birdfacts/results/bob1240.htm,Ardea purpurea,"Scarce Visitor, Has Bred",10 - 100 Birds,100,UR,PURHE,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, marshes, rivers, flooded fields"
Great White Egret,,http://app.bto.org/birdfacts/results/bob1210.htm,Ardea alba,"Scarce Visitor, Has Bred",10 - 100 Birds,100,HW,GRWEG,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CASALB/p52weeks,"Marshes, reedbed, lakes & rivers"
Bee-eater,European Bee-eater,http://app.bto.org/birdfacts/results/bob8400.htm,Merops apiaster,"Scarce Visitor, Has Bred",10 - 100 Birds,100,MZ,BEEEA,,,,,,,,,,,,,,,,,,,,,,,,"Open country, woodland, farmland"
Serin,European Serin,http://app.bto.org/birdfacts/results/bob16400.htm,Serinus serinus,"Scarce Visitor, Has bred",10 - 100 Birds,100,NS,SERIN,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/SERSER/p52weeks,"Open woodland, farmland"
Marsh Warbler,,http://app.bto.org/birdfacts/results/bob12500.htm,Acrocephalus palustris,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,100,MW,MARWA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ACRRIS/p52weeks,"Scrub, grassland"
Icterine Warbler,,http://app.bto.org/birdfacts/results/bob12590.htm,Hippolais icterina,"Scarce Visitor, Scarce Breeder",10 - 100 Birds,100,IC,ICTWA,,,,,,,,,,,,,,,,,,,,,,,,"Forest edge, woodland, scrub"
Red-necked Phalarope,,http://app.bto.org/birdfacts/results/bob5640.htm,Phalaropus lobatus,"Migrant Breeder, Passage Visitor",10 - 100 Males,100,NK,RENPH,,,,,,,,,,,,,,,,,,,,,,,,"Grassy ponds & marsh, on migration seacoasts"
Bittern,Eurasian Bittern,http://app.bto.org/birdfacts/results/bob950.htm,Botaurus stellaris,"Resident Breeder, Winter Visitor",10 - 100 Males,100,BI,BITTE,,,,,,,,,,,,,,,,,,,,,,,,Reedbed & marshes
Spotted Crake,,http://app.bto.org/birdfacts/results/bob4080.htm,Porzana porzana,"Scarce Breeder, Passage Visitor",10 - 100 Males,100,AK,SPOCR,,,,,,,,,,,,,,,,,,,,,,,,Swamps & marsh
Black-winged Stilt,,http://app.bto.org/birdfacts/results/bob4550.htm,Himantopus himantopus,"Scarce Visitor, Has Bred",100-500 Records,100,IT,BLWST,,,,,,,,,,,,,,,,,,,,,,,,"Marsh, weedy lakes, flooded fields"
Gull-billed Tern,,http://app.bto.org/birdfacts/results/bob6050.htm,Gelochelidon nilotica,"Scarce Visitor, Has Bred",100-500 Records,100,TG,GUBTE,,,,,,,,,,,,,,,,,,,,,,,,"Sandy seacoasts, in winter marshes, estuaries, fields"
Parrot Crossbill,,http://app.bto.org/birdfacts/results/bob16680.htm,Loxia pytyopsittacus,"Scarce Visitor, Occasional Breeder",100-500 Records,100,PC,PARCR,,,,,,,,,,,,,,,,,,,,,,,,Coniferous forest
Roseate Tern,,http://app.bto.org/birdfacts/results/bob6140.htm,Sterna dougallii,"Migrant Breeder, Passage Visitor",10 - 100 Pairs,200,RS,ROSTE,,,,,,,,,,,,,,,,,,,,,,,,"Sandy seacoasts, in winter pelagic"
Montagu’s Harrier,,http://app.bto.org/birdfacts/results/bob2630.htm,Circus pygargus,"Migrant Breeder, Passage Visitor",10 - 100 Pairs,200,MO,MONHA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CIRPYG/p52weeks,"Marsh, moor & grassland"
Black-necked Grebe,Eared Grebe,http://app.bto.org/birdfacts/results/bob120.htm,Podiceps nigricollis,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,200,BN,BLNGR,,,,,,,,,,,,,,,,,,,,,,,,"Large reedy lakes, Winter also coastal"
Black Redstart,,http://app.bto.org/birdfacts/results/bob11210.htm,Phoenicurus ochruros,"Migrant/Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,200,BX,BLARE,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PHOOCH/p52weeks,Near cliffs & buildings
White-tailed Eagle,,http://app.bto.org/birdfacts/results/bob2430.htm,Haliaeetus albicilla,"Re-introduced Breeder, Accidental",10 - 100 Pairs,200,WE,WHTEA,,,,,,,,,,,,,,,,,,,,,,,,"Seacoasts, rivers & large lakes"
Snow Bunting,,http://app.bto.org/birdfacts/results/bob18500.htm,Plectrophenax nivalis,"Resident Breeder, Passage/Winter Visitor",10 - 100 Pairs,200,SB,SNOBU,,,,,,,,,,,,,,,,,,,,,,,,"Dry tundra, rocky shores"
Slavonian Grebe,Horned Grebe,http://app.bto.org/birdfacts/results/bob110.htm,Podiceps auritus,"Resident Breeder, Winter Visitor",10 - 100 Pairs,200,SZ,SLAGR,,,,,,,,,,,,,,,,,,,,,,,,"Marshes, lakes and streams, Winter also coastal"
Crane,Common Crane,http://app.bto.org/birdfacts/results/bob4330.htm,Grus grus,"Resident/Re-introduced Breeder, Passage Visitor",10 - 100 Pairs,200,AN,CRANE,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/GRUGRU/p52weeks,"Tundra, open forest, steppe, marsh"
Wryneck,Eurasian Wryneck,http://app.bto.org/birdfacts/results/bob8480.htm,Jynx torquilla,"Former Breeder, Scarce Visitor",100-500 Birds,500,WY,WRYNE,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/JYNTOR/p52weeks,"Open woodland, farmland"
Red-backed Shrike,,http://app.bto.org/birdfacts/results/bob15150.htm,Lanius collurio,"Former Breeder, Scarce Visitor",100-500 Birds,500,ED,REBSH,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/LANCOL/p52weeks,"Open woodland, scrub, savanna, farmland"
Grey Phalarope,,http://app.bto.org/birdfacts/results/bob5650.htm,Phalaropus fulicarius,Passage Visitor,100-500 Birds,500,PL,GREPH,,,,,,,,,,,,,,,,,,,,,,,,"Coastal tundra, on migration seacoasts"
Sabine’s Gull,,http://app.bto.org/birdfacts/results/bob5790.htm,Xema sabini,Passage Visitor,100-500 Birds,500,AB,SABGU,,,,,,,,,,,,,,,,,,,,,,,,"Coastal wet meadows, otherwise pelagic"
Spotted Redshank,,http://app.bto.org/birdfacts/results/bob5450.htm,Tringa erythropus,Passage/Winter Visitor,100-500 Birds,500,DR,SPORE,,,,,,,,,,,,,,,,,,,,,,,,"Marshy tundra, on migration meadows & mudflats"
Water Pipit,,http://app.bto.org/birdfacts/results/bob10141.htm,Anthus spinoletta,Passage/Winter Visitor,100-500 Birds,500,WI,WATPI,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANTSPI/p52weeks,"Tundra, meadows, often near water"
Temminck’s Stint,,http://app.bto.org/birdfacts/results/bob5020.htm,Calidris temminckii,"Scarce Breeder, Passage Visitor",100-500 Birds,500,TK,TEMST,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, grassy meadows, on migration mudflats"
Common Rosefinch,,http://app.bto.org/birdfacts/results/bob16790.htm,Carpodacus erythrinus,"Scarce Breeder, Passage Visitor",100-500 Birds,500,SQ,SCARO,,,,,,,,,,,,,,,,,,,,,,,,"Damp woodland, farmland"
Common Redpoll,,http://app.bto.org/birdfacts/results/bob16631.htm,Acanthis flammea,"Scarce Breeder, Passage/Winter Visitor",100-500 Birds,500,FR,COMRE,,,,,,,,,,,,,,,,,,,,,,,,"Woodland, birch/willow scrub"
Hoopoe,,http://app.bto.org/birdfacts/results/bob8460.htm,Upupa epops,"Scarce Visitor, Has Bred",100-500 Birds,500,HP,HOOPO,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/UPUEPO/p52weeks,"Savanna, steppe, open woodland"
Pectoral Sandpiper,,http://app.bto.org/birdfacts/results/bob5070.htm,Calidris melanotos,"Scarce Visitor, Has probably bred",100-500 Birds,500,PP,PECSA,,,,,,,,,,,,,,,,,,,,,,,,"Wet tundra, on migration mudflats, flooded fields"
Taiga Bean Goose,,http://app.bto.org/birdfacts/results/bob1571.htm,Anser fabalis,Winter Migrant,100-500 Birds,500,XF,,,,,,,,,,,,,,,,,,,,,,,,,"Tundra & taiga lakes, bogs & wet meadows"
Tundra Bean Goose,,http://app.bto.org/birdfacts/results/bob1574.htm,Anser serrirostris,Winter Migrant,100-500 Birds,500,XR,,,,,,,,,,,,,,,,,,,,,,,,,"Tundra & taiga lakes, bogs & wet meadows"
Smew,,http://app.bto.org/birdfacts/results/bob2200.htm,Mergellus albellus,Winter Visitor,100-500 Birds,500,SY,SMEW.,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, ponds, on migration also seacoasts"
Glaucous Gull,,http://app.bto.org/birdfacts/results/bob5990.htm,Larus hyperboreus,Winter Visitor,100-500 Birds,500,GZ,GLAGU,,,,,,,,,,,,,,,,,,,,,,,,"Seacoasts, lakes"
Iceland Gull,,http://app.bto.org/birdfacts/results/bob5980.htm,Larus glaucoides,Winter Visitor,100-500 Birds,500,IG,ICEGU,,,,,,,,,,,,,,,,,,,,,,,,"Seacoasts, lakes"
Goldeneye,Common Goldeneye,http://app.bto.org/birdfacts/results/bob2180.htm,Bucephala clangula,"Resident Breeder, Passage/Winter Visitor",100-500 Females,500,GN,GOLDE,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, rivers, on migration also seacoasts"
Savi’s Warbler,,http://app.bto.org/birdfacts/results/bob12380.htm,Locustella luscinioides,"Scarce Visitor, Scarce Breeder",500 - 1000 Records,500,VI,SAVWA,,,,,,,,,,,,,,,,,,,,,,,,Reedbed
Golden Pheasant,,http://app.bto.org/birdfacts/results/bob3960.htm,Chrysolophus pictus,Introduced Breeder,100-500 Pairs,"1,000",GF,GOLPH,,,,,,,,,,,,,,,,,,,,,,,,"Wood, bamboo forest"
Stone-curlew,,http://app.bto.org/birdfacts/results/bob4590.htm,Burhinus oedicnemus,Migrant Breeder,100-500 Pairs,"1,000",TN,STOCU,,,,,,,,,,,,,,,,,,,,,,,,Open habitats with sparse vegetation
Garganey,,http://app.bto.org/birdfacts/results/bob1910.htm,Spatula querquedula,"Migrant Breeder, Passage Visitor",100-500 Pairs,"1,000",GY,GARGA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANAQUE/p52weeks,"Shallow lakes, marsh, reedbed & wet meadow"
Osprey,,http://app.bto.org/birdfacts/results/bob3010.htm,Pandion haliaetus,"Migrant Breeder, Passage Visitor",100-500 Pairs,"1,000",OP,OSPRE,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PANHAL/p52weeks,"Lakes, rivers, seacoasts"
Honey-buzzard,European Honey Buzzard,http://app.bto.org/birdfacts/results/bob2310.htm,Pernis apivorus,"Migrant Breeder, Passage Visitor",100-500 Pairs,"1,000",HZ,HONBU,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PERAPI/p52weeks,Open wood and forest edge
Black-tailed Godwit,,http://app.bto.org/birdfacts/results/bob5320.htm,Limosa limosa,"Migrant Breeder, Passage/Winter Visitor",100-500 Pairs,"1,000",BW,BLTGO,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/LIMLIM/p52weeks,"Marshy grassland & steppe, on migration mudflats"
Marsh Harrier,Eurasian Marsh Harrier,http://app.bto.org/birdfacts/results/bob2600.htm,Circus aeruginosus,"Migrant/Resident Breeder, Passage Visitor",100-500 Pairs,"1,000",MR,MARHA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CIRAER/p52weeks,Marsh and reedbeds
Black-throated Diver,,http://app.bto.org/birdfacts/results/bob30.htm,Gavia arctica,"Migrant/Resident Breeder, Winter Visitor",100-500 Pairs,"1,000",BV,BLTDI,,,,,,,,,,,,,,,,,,,,,,,,Deep lakes
Goshawk,Northern Goshawk,http://app.bto.org/birdfacts/results/bob2670.htm,Accipiter gentilis,Re-introduced Breeder,100-500 Pairs,"1,000",GI,GOSHA,,,,,,,,,,,,,,,,,,,,,,,,Forest & open wood
Golden Eagle,,http://app.bto.org/birdfacts/results/bob2960.htm,Aquila chrysaetos,Resident Breeder,100-500 Pairs,"1,000",EA,GOLEA,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, moor, open coniferous forest"
Chough,Red-billed Chough,http://app.bto.org/birdfacts/results/bob15590.htm,Pyrrhocorax pyrrhocorax,Resident Breeder,100-500 Pairs,"1,000",CF,CHOUG,,,,,,,,,,,,,,,,,,,,,,,,"Open country, often rocky"
Red-crested Pochard,,http://app.bto.org/birdfacts/results/bob1960.htm,Netta rufina,"Escaped Breeder, Scarce Visitor",500 - 1000 Birds,"1,000",RQ,RECPO,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, marshes & river deltas"
Curlew Sandpiper,,http://app.bto.org/birdfacts/results/bob5090.htm,Calidris ferruginea,Passage Visitor,500 - 1000 Birds,"1,000",CV,CURSA,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, on migration mudflats, marshes"
Little Stint,,http://app.bto.org/birdfacts/results/bob5010.htm,Calidris minuta,Passage Visitor,500 - 1000 Birds,"1,000",LX,LITST,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, on migration mudflats"
Ruff,,http://app.bto.org/birdfacts/results/bob5170.htm,Calidris pugnax,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,"1,000",RU,RUFF.,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PHIPUG/p52weeks,"Grassy tundra, lakes, farmland, on migration mudflat"
Yellow-legged Gull,,http://app.bto.org/birdfacts/results/bob5926.htm,Larus michahellis,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,"1,000",YG,YELGU,,,,,,,,,,,,,,,,,,,,,,,,"Seacoasts, lakes, rivers"
Lapland Bunting,,http://app.bto.org/birdfacts/results/bob18470.htm,Calcarius lapponicus,"Scarce Breeder, Passage/Winter Visitor",500 - 1000 Birds,"1,000",LA,LAPBU,,,,,,,,,,,,,,,,,,,,,,,,"Wet meadows, tundra scrub"
Cory’s Shearwater,,http://app.bto.org/birdfacts/results/bob360.htm,Calonectris borealis,Scarce Migrant,500 - 1000 Birds,"1,000",CQ,CORSH,,,,,,,,,,,,,,,,,,,,,,,,Marine
Quail,Common Quail,http://app.bto.org/birdfacts/results/bob3700.htm,Coturnix coturnix,Migrant Breeder,500 - 1000 Males,"1,000",Q.,QUAIL,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/COTCOT/p52weeks,"Field, pasture, steppe"
Dotterel,Eurasian Dotterel,http://app.bto.org/birdfacts/results/bob4820.htm,Charadrius morinellus,"Migrant Breeder, Passage Visitor",500 - 1000 Males,"1,000",DO,DOTTE,,,,,,,,,,,,,,,,,,,,,,,,"Steppe, stony grassland, on migration mudflats"
Firecrest,,http://app.bto.org/birdfacts/results/bob13150.htm,Regulus ignicapilla,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Territories,"1,000",FC,FIREC,,,,,,,,,,,,,,,,,,,,,,,,Coniferous & mixed forest
Whimbrel,,http://app.bto.org/birdfacts/results/bob5380.htm,Numenius phaeopus,"Migrant Breeder, Passage Visitor",500 - 1000 Pairs,"2,000",WM,WHIMB,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, moor, heath, on migration marsh & estuary"
Shoveler,Northern Shoveler,http://app.bto.org/birdfacts/results/bob1940.htm,Spatula clypeata,"Migrant Breeder, Passage/Winter Visitor",500 - 1000 Pairs,"2,000",SV,SHOVE,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANACLY/p52weeks,"Shallow lakes, marsh, reedbed & wet meadow"
Mediterranean Gull,,http://app.bto.org/birdfacts/results/bob5750.htm,Ichthyaetus melanocephalus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,"2,000",MU,MEDGU,,,,,,,,,,,,,,,,,,,,,,,,"Steppe, seacoasts, marshes, lakes"
Hen Harrier,Northern Harrier,http://app.bto.org/birdfacts/results/bob2610.htm,Circus cyaneus,"Migrant/Resident Breeder, Passage/Winter Visitor",500 - 1000 Pairs,"2,000",HH,HENHA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CIRCYA/p52weeks,"Moor, marsh, steppe and fields"
Little Egret,,http://app.bto.org/birdfacts/results/bob1190.htm,Egretta garzetta,"Resident Breeder, Passage Visitor",500 - 1000 Pairs,"2,000",ET,LITEG,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, marsh, flooded fields & estuary"
